OBJECTID,FID_philly_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
32,133,420757,1.1.1.0,420757_333,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,80, ,E6,B,0.000957458513113,0.000000020323066,2071.708954996543980
33,159,420757,1.1.1.0,420757_378,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,79, ,E5,C,0.000106451151149,0.000000000568327,57.947661192355511
34,163,420757,1.1.1.0,420757_384,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,79, ,E5,C,0.008052741953632,0.000001072981260,109405.443761116563110
35,167,420757,1.1.1.0,420757_388,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,79, ,E5,C,0.010886447413180,0.000001898313525,193561.939177929423749
36,168,420757,1.1.1.0,420757_391,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,79, ,E5,C,0.003013458930295,0.000000135688113,13835.391236505600318
37,169,420757,1.1.1.0,420757_397,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,79, ,E5,C,0.016339319224367,0.000001250347204,127498.305552691876073
38,184,420757,1.1.1.0,420757_426,NP,AE, ,T,12.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS2,34, ,C10,C,0.001854408721262,0.000000217705119,22216.642014326895151
39,187,420757,1.1.1.0,420757_430,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,11, ,B10,B,0.000332418561305,0.000000004334154,442.039303311228593
40,199,420757,1.1.1.0,420757_446,NP,A, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,78, ,E4,B,0.015872222997716,0.000005296742779,540196.351736046723090
41,204,420757,1.1.1.0,420757_453,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,35, ,C11,C,0.000875359276701,0.000000030615812,3122.565583755938860
42,205,420757,1.1.1.0,420757_455,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,11, ,B10,B,0.003283582706754,0.000000262999227,26823.620280632880167
43,205,420757,1.1.1.0,420757_455,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,73, ,D8,D,0.001739461619356,0.000000035027188,3572.475185328651150
44,206,420757,1.1.1.0,420757_458,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,16, ,B15,B,0.016350871944869,0.000001931396373,197082.527783350495156
45,206,420757,1.1.1.0,420757_458,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,34, ,C10,C,0.022490238771115,0.000002341967762,239019.019496472756146
46,206,420757,1.1.1.0,420757_458,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,50, ,D10,D,0.016998654203634,0.000003363720236,343317.391513634647708
47,206,420757,1.1.1.0,420757_458,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,72, ,D7,D,0.031281606161469,0.000007046851963,719106.667122628306970
48,206,420757,1.1.1.0,420757_458,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,74, ,D9,D,0.009080099151581,0.000001188361656,121269.862153426554869
49,206,420757,1.1.1.0,420757_458,NP,AE,FLOODWAY,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,77, ,E3,B,0.002265388479201,0.000000057658413,5880.434589826438241
50,209,420757,1.1.1.0,420757_461,NP,AE, ,T,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,420757_FIS1,77, ,E3,B,0.000706965976069,0.000000015224969,1552.765067539559823
