OBJECTID,FID_miami_100,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,FID_cartodb_query,name,holc_id,holc_grade,Shape_Length,Shape_Area,area_sf
27,355,12086C,1.1.1.0,12086C_912,NP,AH, ,T,5.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,66, ,D2,D,0.007536819585407,0.000000941000679,112489.792316104591009
28,374,12086C,1.1.1.0,12086C_955,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,73,Coconut Grove,D9,D,0.002464536825690,0.000000182520252,21841.393145148918848
29,380,12086C,1.1.1.0,12086C_1743,NP,VE, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_LOMC43,60,Buena Vista and Miramar,C9,C,0.001100804932544,0.000000044443584,5315.507206466401840
30,383,12086C,1.1.1.0,12086C_1746,NP,AH, ,T,12.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,66, ,D2,D,0.014461758237869,0.000005148921020,615557.053015132551081
31,384,12086C,1.1.1.0,12086C_1749,NP,AH, ,T,6.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,51, ,C2,C,0.012117841351854,0.000002954977184,353241.553122559504118
32,399,12086C,1.1.1.0,12086C_979,NP,VE, ,T,15.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_FIS1,25,Coconut Grove,B19,B,0.010661251632172,0.000007096057938,849248.130409128731117
33,401,12086C,1.1.1.0,12086C_989,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,69, ,D5,D,0.007797797927313,0.000000966114127,115507.673266220852383
34,407,12086C,1.1.1.0,12086C_1022,NP,AH, ,T,8.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,6,Coral Gables,A15,A,0.003908935100187,0.000000239362747,28640.011933954086999
35,440,12086C,1.1.1.0,12086C_1132,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,55, ,C4,C,0.072425933249372,0.000029598412675,3538731.298323936760426
36,440,12086C,1.1.1.0,12086C_1132,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,66, ,D2,D,0.034521692019133,0.000010227525249,1222764.957708350382745
37,440,12086C,1.1.1.0,12086C_1132,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,67,Liberty City,D3,D,0.020013323136428,0.000014401906027,1721866.557506519369781
38,440,12086C,1.1.1.0,12086C_1132,NP,AH, ,T,11.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,68, ,D4,D,0.036537766111996,0.000024252277246,2899701.196460913401097
39,444,12086C,1.1.1.0,12086C_1144,NP,VE, ,T,13.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_FIS1,25,Coconut Grove,B19,B,0.004210429294470,0.000000429916525,51452.228394821235270
40,454,12086C,1.1.1.0,12086C_1166,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,3,New Shenandoah,A12,A,0.001165410636474,0.000000087925888,10518.944913708010063
41,454,12086C,1.1.1.0,12086C_1166,NP,AH, ,T,10.000000000000000,NGVD29,-9999.000000000000000,Feet,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12086C_STUDY4,20,Holleman Park,B14,B,0.008945621054196,0.000001586763312,189829.699432443623664
